imgid,category,gt_count,raw_count,post_count,raw_prec50,raw_rec50,raw_f1_50,raw_med_iou50,post_prec50,post_rec50,post_f1_50,post_prec75,post_rec75,post_f1_75,post_med_iou50
629558,catastrophic,34,345,12,0.0232,0.2353,0.0422,0.7802,0.5,0.1765,0.2609,0.5,0.1765,0.2609,1.0
634445,catastrophic,136,152,122,0.6513,0.7279,0.6875,0.7223,1.0,0.8971,0.9457,0.8852,0.7941,0.8372,1.0
670433,catastrophic,53,59,53,0.8814,0.9811,0.9286,0.7178,1.0,1.0,1.0,1.0,1.0,1.0,1.0
677385,catastrophic,137,285,122,0.3474,0.7226,0.4692,0.6768,0.8934,0.7956,0.8417,0.877,0.781,0.8263,1.0
729453,catastrophic,192,245,185,0.6082,0.776,0.6819,0.6806,0.9946,0.9583,0.9761,0.3514,0.3385,0.3448,0.7
622581,ordinary,33,35,33,0.9143,0.9697,0.9412,0.6954,1.0,1.0,1.0,1.0,1.0,1.0,1.0
624025,ordinary,50,51,50,0.8235,0.84,0.8317,0.621,1.0,1.0,1.0,1.0,1.0,1.0,1.0
639579,ordinary,61,76,61,0.7368,0.918,0.8175,0.7641,1.0,1.0,1.0,0.9672,0.9672,0.9672,1.0
722429,ordinary,46,40,29,0.675,0.587,0.6279,0.835,0.8276,0.5217,0.64,0.7931,0.5,0.6133,1.0
